Opening,Strategy,Opponent,Wins,Win %
No Opening,Adaptive,Minimax2,25,83.33
No Opening,Minimax2,Adaptive,5,16.67
No Opening,Adaptive,Minimax3,30,100.00
No Opening,Minimax3,Adaptive,0,0.00
No Opening,Adaptive,SimulatedAnnealing0.5,19,63.33
No Opening,SimulatedAnnealing0.5,Adaptive,11,36.67
No Opening,Adaptive,SimulatedAnnealing1.0,22,73.33
No Opening,SimulatedAnnealing1.0,Adaptive,8,26.67
No Opening,Adaptive,SimulatedAnnealing1.5,21,70.00
No Opening,SimulatedAnnealing1.5,Adaptive,9,30.00
No Opening,Adaptive,SimulatedAnnealing2.0,21,70.00
No Opening,SimulatedAnnealing2.0,Adaptive,9,30.00
No Opening,Adaptive,ProgressiveDeepening2,30,100.00
No Opening,ProgressiveDeepening2,Adaptive,0,0.00
Sidewall Opening,SimulatedAnnealing1.0,SimulatedAnnealing2.0,15,50.00
Sidewall Opening,SimulatedAnnealing2.0,SimulatedAnnealing1.0,12,40.00
Sidewall Opening,SimulatedAnnealing1.0,ProgressiveDeepening2,17,56.67
Sidewall Opening,ProgressiveDeepening2,SimulatedAnnealing1.0,0,0.00
Sidewall Opening,SimulatedAnnealing1.0,ProgressiveDeepening3,19,63.33
Sidewall Opening,ProgressiveDeepening3,SimulatedAnnealing1.0,0,0.00
Sidewall Opening,SimulatedAnnealing1.5,SimulatedAnnealing2.0,12,40.00
Sidewall Opening,SimulatedAnnealing2.0,SimulatedAnnealing1.5,14,46.67
Sidewall Opening,SimulatedAnnealing1.5,ProgressiveDeepening2,17,56.67
Sidewall Opening,ProgressiveDeepening2,SimulatedAnnealing1.5,0,0.00
Sidewall Opening,SimulatedAnnealing1.5,ProgressiveDeepening3,16,53.33
Sidewall Opening,ProgressiveDeepening3,SimulatedAnnealing1.5,0,0.00
Sidewall Opening,SimulatedAnnealing2.0,ProgressiveDeepening2,15,50.00
Sidewall Opening,ProgressiveDeepening2,SimulatedAnnealing2.0,0,0.00
No Opening,SimulatedAnnealing0.5,SimulatedAnnealing1.0,16,53.33
No Opening,SimulatedAnnealing1.0,SimulatedAnnealing0.5,13,43.33
No Opening,SimulatedAnnealing0.5,SimulatedAnnealing1.5,15,50.00
No Opening,SimulatedAnnealing1.5,SimulatedAnnealing0.5,13,43.33
No Opening,SimulatedAnnealing0.5,SimulatedAnnealing2.0,13,43.33
No Opening,SimulatedAnnealing2.0,SimulatedAnnealing0.5,15,50.00
No Opening,SimulatedAnnealing0.5,ProgressiveDeepening2,22,73.33
No Opening,ProgressiveDeepening2,SimulatedAnnealing0.5,0,0.00
No Opening,SimulatedAnnealing0.5,ProgressiveDeepening3,23,76.67
No Opening,ProgressiveDeepening3,SimulatedAnnealing0.5,1,3.33
No Opening,SimulatedAnnealing1.0,SimulatedAnnealing1.5,13,43.33
No Opening,SimulatedAnnealing1.5,SimulatedAnnealing1.0,13,43.33
No Opening,SimulatedAnnealing1.0,SimulatedAnnealing2.0,14,46.67
No Opening,SimulatedAnnealing2.0,SimulatedAnnealing1.0,13,43.33
Sidewall Opening,Adaptive,ProgressiveDeepening2,30,100.00
Sidewall Opening,ProgressiveDeepening2,Adaptive,0,0.00
Sidewall Opening,Adaptive,ProgressiveDeepening3,30,100.00
Sidewall Opening,ProgressiveDeepening3,Adaptive,0,0.00
Sidewall Opening,Minimax2,Minimax3,15,50.00
Sidewall Opening,Minimax3,Minimax2,0,0.00
Sidewall Opening,Minimax2,SimulatedAnnealing0.5,13,43.33
Sidewall Opening,SimulatedAnnealing0.5,Minimax2,9,30.00
Sidewall Opening,Minimax2,SimulatedAnnealing1.0,14,46.67
Sidewall Opening,SimulatedAnnealing1.0,Minimax2,4,13.33
Sidewall Opening,Minimax2,SimulatedAnnealing1.5,14,46.67
Sidewall Opening,SimulatedAnnealing1.5,Minimax2,6,20.00
Sidewall Opening,Minimax2,SimulatedAnnealing2.0,14,46.67
Sidewall Opening,SimulatedAnnealing2.0,Minimax2,7,23.33
No Opening,Adaptive,ProgressiveDeepening3,30,100.00
No Opening,ProgressiveDeepening3,Adaptive,0,0.00
No Opening,Minimax2,Minimax3,15,50.00
No Opening,Minimax3,Minimax2,0,0.00
No Opening,Minimax2,SimulatedAnnealing0.5,11,36.67
No Opening,SimulatedAnnealing0.5,Minimax2,6,20.00
No Opening,Minimax2,SimulatedAnnealing1.0,12,40.00
No Opening,SimulatedAnnealing1.0,Minimax2,7,23.33
No Opening,Minimax2,SimulatedAnnealing1.5,12,40.00
No Opening,SimulatedAnnealing1.5,Minimax2,4,13.33
No Opening,Minimax2,SimulatedAnnealing2.0,12,40.00
No Opening,SimulatedAnnealing2.0,Minimax2,8,26.67
No Opening,Minimax2,ProgressiveDeepening2,15,50.00
No Opening,ProgressiveDeepening2,Minimax2,0,0.00
No Opening,SimulatedAnnealing1.0,ProgressiveDeepening2,20,66.67
No Opening,ProgressiveDeepening2,SimulatedAnnealing1.0,0,0.00
No Opening,SimulatedAnnealing1.0,ProgressiveDeepening3,23,76.67
No Opening,ProgressiveDeepening3,SimulatedAnnealing1.0,1,3.33
No Opening,SimulatedAnnealing1.5,SimulatedAnnealing2.0,14,46.67
No Opening,SimulatedAnnealing2.0,SimulatedAnnealing1.5,14,46.67
No Opening,SimulatedAnnealing1.5,ProgressiveDeepening2,20,66.67
No Opening,ProgressiveDeepening2,SimulatedAnnealing1.5,1,3.33
No Opening,SimulatedAnnealing1.5,ProgressiveDeepening3,20,66.67
No Opening,ProgressiveDeepening3,SimulatedAnnealing1.5,0,0.00
No Opening,SimulatedAnnealing2.0,ProgressiveDeepening2,22,73.33
No Opening,ProgressiveDeepening2,SimulatedAnnealing2.0,0,0.00
No Opening,SimulatedAnnealing2.0,ProgressiveDeepening3,20,66.67
No Opening,ProgressiveDeepening3,SimulatedAnnealing2.0,1,3.33
Standard Opening,Minimax2,SimulatedAnnealing2.0,17,56.67
Standard Opening,SimulatedAnnealing2.0,Minimax2,13,43.33
Standard Opening,Minimax2,ProgressiveDeepening2,15,50.00
Standard Opening,ProgressiveDeepening2,Minimax2,0,0.00
Standard Opening,Minimax2,ProgressiveDeepening3,15,50.00
Standard Opening,ProgressiveDeepening3,Minimax2,0,0.00
Standard Opening,Minimax3,SimulatedAnnealing0.5,11,36.67
Standard Opening,SimulatedAnnealing0.5,Minimax3,14,46.67
Standard Opening,Minimax3,SimulatedAnnealing1.0,11,36.67
Standard Opening,SimulatedAnnealing1.0,Minimax3,11,36.67
Standard Opening,Minimax3,SimulatedAnnealing1.5,13,43.33
Standard Opening,SimulatedAnnealing1.5,Minimax3,12,40.00
Standard Opening,Minimax3,SimulatedAnnealing2.0,10,33.33
Standard Opening,SimulatedAnnealing2.0,Minimax3,12,40.00
Standard Opening,SimulatedAnnealing1.0,SimulatedAnnealing1.5,10,33.33
Standard Opening,SimulatedAnnealing1.5,SimulatedAnnealing1.0,15,50.00
Standard Opening,SimulatedAnnealing1.0,SimulatedAnnealing2.0,16,53.33
Standard Opening,SimulatedAnnealing2.0,SimulatedAnnealing1.0,12,40.00
Standard Opening,SimulatedAnnealing1.0,ProgressiveDeepening2,19,63.33
Standard Opening,ProgressiveDeepening2,SimulatedAnnealing1.0,0,0.00
Standard Opening,SimulatedAnnealing1.0,ProgressiveDeepening3,13,43.33
Standard Opening,ProgressiveDeepening3,SimulatedAnnealing1.0,3,10.00
Standard Opening,SimulatedAnnealing1.5,SimulatedAnnealing2.0,14,46.67
Standard Opening,SimulatedAnnealing2.0,SimulatedAnnealing1.5,13,43.33
Standard Opening,SimulatedAnnealing1.5,ProgressiveDeepening2,11,36.67
Standard Opening,ProgressiveDeepening2,SimulatedAnnealing1.5,3,10.00
Standard Opening,SimulatedAnnealing1.5,ProgressiveDeepening3,9,30.00
Standard Opening,ProgressiveDeepening3,SimulatedAnnealing1.5,4,13.33
Standard Opening,Adaptive,SimulatedAnnealing2.0,24,80.00
Standard Opening,SimulatedAnnealing2.0,Adaptive,6,20.00
Standard Opening,Adaptive,ProgressiveDeepening2,30,100.00
Standard Opening,ProgressiveDeepening2,Adaptive,0,0.00
Standard Opening,Adaptive,ProgressiveDeepening3,30,100.00
Standard Opening,ProgressiveDeepening3,Adaptive,0,0.00
Standard Opening,Minimax2,Minimax3,0,0.00
Standard Opening,Minimax3,Minimax2,0,0.00
Standard Opening,Minimax2,SimulatedAnnealing0.5,16,53.33
Standard Opening,SimulatedAnnealing0.5,Minimax2,14,46.67
Standard Opening,Minimax2,SimulatedAnnealing1.0,14,46.67
Standard Opening,SimulatedAnnealing1.0,Minimax2,14,46.67
Standard Opening,Minimax2,SimulatedAnnealing1.5,15,50.00
Standard Opening,SimulatedAnnealing1.5,Minimax2,14,46.67
Standard Opening,SimulatedAnnealing2.0,ProgressiveDeepening2,12,40.00
Standard Opening,ProgressiveDeepening2,SimulatedAnnealing2.0,4,13.33
Standard Opening,SimulatedAnnealing2.0,ProgressiveDeepening3,18,60.00
Standard Opening,ProgressiveDeepening3,SimulatedAnnealing2.0,5,16.67
Standard Opening,ProgressiveDeepening2,ProgressiveDeepening3,0,0.00
Standard Opening,ProgressiveDeepening3,ProgressiveDeepening2,0,0.00
Standard Opening,Minimax3,ProgressiveDeepening2,0,0.00
Standard Opening,ProgressiveDeepening2,Minimax3,15,50.00
Standard Opening,Minimax3,ProgressiveDeepening3,0,0.00
Standard Opening,ProgressiveDeepening3,Minimax3,15,50.00
Standard Opening,SimulatedAnnealing0.5,SimulatedAnnealing1.0,15,50.00
Standard Opening,SimulatedAnnealing1.0,SimulatedAnnealing0.5,13,43.33
Standard Opening,SimulatedAnnealing0.5,SimulatedAnnealing1.5,13,43.33
Standard Opening,SimulatedAnnealing1.5,SimulatedAnnealing0.5,16,53.33
Standard Opening,SimulatedAnnealing0.5,SimulatedAnnealing2.0,16,53.33
Standard Opening,SimulatedAnnealing2.0,SimulatedAnnealing0.5,14,46.67
Standard Opening,SimulatedAnnealing0.5,ProgressiveDeepening2,20,66.67
Standard Opening,ProgressiveDeepening2,SimulatedAnnealing0.5,3,10.00
Standard Opening,SimulatedAnnealing0.5,ProgressiveDeepening3,15,50.00
Standard Opening,ProgressiveDeepening3,SimulatedAnnealing0.5,5,16.67
Sidewall Opening,Minimax3,ProgressiveDeepening3,0,0.00
Sidewall Opening,ProgressiveDeepening3,Minimax3,0,0.00
Sidewall Opening,SimulatedAnnealing0.5,SimulatedAnnealing1.0,14,46.67
Sidewall Opening,SimulatedAnnealing1.0,SimulatedAnnealing0.5,12,40.00
Sidewall Opening,SimulatedAnnealing0.5,SimulatedAnnealing1.5,16,53.33
Sidewall Opening,SimulatedAnnealing1.5,SimulatedAnnealing0.5,12,40.00
Sidewall Opening,SimulatedAnnealing0.5,SimulatedAnnealing2.0,16,53.33
Sidewall Opening,SimulatedAnnealing2.0,SimulatedAnnealing0.5,12,40.00
Sidewall Opening,SimulatedAnnealing0.5,ProgressiveDeepening2,20,66.67
Sidewall Opening,ProgressiveDeepening2,SimulatedAnnealing0.5,0,0.00
Sidewall Opening,SimulatedAnnealing0.5,ProgressiveDeepening3,19,63.33
Sidewall Opening,ProgressiveDeepening3,SimulatedAnnealing0.5,0,0.00
Sidewall Opening,SimulatedAnnealing1.0,SimulatedAnnealing1.5,13,43.33
Sidewall Opening,SimulatedAnnealing1.5,SimulatedAnnealing1.0,12,40.00
Sidewall Opening,Minimax2,ProgressiveDeepening2,15,50.00
Sidewall Opening,ProgressiveDeepening2,Minimax2,0,0.00
Sidewall Opening,Minimax2,ProgressiveDeepening3,15,50.00
Sidewall Opening,ProgressiveDeepening3,Minimax2,0,0.00
Sidewall Opening,Minimax3,SimulatedAnnealing0.5,15,50.00
Sidewall Opening,SimulatedAnnealing0.5,Minimax3,7,23.33
Sidewall Opening,Minimax3,SimulatedAnnealing1.0,14,46.67
Sidewall Opening,SimulatedAnnealing1.0,Minimax3,2,6.67
Sidewall Opening,Minimax3,SimulatedAnnealing1.5,12,40.00
Sidewall Opening,SimulatedAnnealing1.5,Minimax3,6,20.00
Sidewall Opening,Minimax3,SimulatedAnnealing2.0,15,50.00
Sidewall Opening,SimulatedAnnealing2.0,Minimax3,4,13.33
Sidewall Opening,Minimax3,ProgressiveDeepening2,0,0.00
Sidewall Opening,ProgressiveDeepening2,Minimax3,0,0.00
Sidewall Opening,SimulatedAnnealing2.0,ProgressiveDeepening3,12,40.00
Sidewall Opening,ProgressiveDeepening3,SimulatedAnnealing2.0,3,10.00
Sidewall Opening,ProgressiveDeepening2,ProgressiveDeepening3,0,0.00
Sidewall Opening,ProgressiveDeepening3,ProgressiveDeepening2,0,0.00
Standard Opening,Adaptive,Minimax2,22,73.33
Standard Opening,Minimax2,Adaptive,7,23.33
Standard Opening,Adaptive,Minimax3,25,83.33
Standard Opening,Minimax3,Adaptive,5,16.67
Standard Opening,Adaptive,SimulatedAnnealing0.5,23,76.67
Standard Opening,SimulatedAnnealing0.5,Adaptive,7,23.33
Standard Opening,Adaptive,SimulatedAnnealing1.0,22,73.33
Standard Opening,SimulatedAnnealing1.0,Adaptive,8,26.67
Standard Opening,Adaptive,SimulatedAnnealing1.5,24,80.00
Standard Opening,SimulatedAnnealing1.5,Adaptive,6,20.00
No Opening,ProgressiveDeepening2,ProgressiveDeepening3,0,0.00
No Opening,ProgressiveDeepening3,ProgressiveDeepening2,0,0.00
Sidewall Opening,Adaptive,Minimax2,27,90.00
Sidewall Opening,Minimax2,Adaptive,3,10.00
Sidewall Opening,Adaptive,Minimax3,29,96.67
Sidewall Opening,Minimax3,Adaptive,1,3.33
Sidewall Opening,Adaptive,SimulatedAnnealing0.5,20,66.67
Sidewall Opening,SimulatedAnnealing0.5,Adaptive,10,33.33
Sidewall Opening,Adaptive,SimulatedAnnealing1.0,19,63.33
Sidewall Opening,SimulatedAnnealing1.0,Adaptive,11,36.67
Sidewall Opening,Adaptive,SimulatedAnnealing1.5,20,66.67
Sidewall Opening,SimulatedAnnealing1.5,Adaptive,10,33.33
Sidewall Opening,Adaptive,SimulatedAnnealing2.0,16,53.33
Sidewall Opening,SimulatedAnnealing2.0,Adaptive,14,46.67
No Opening,Minimax2,ProgressiveDeepening3,15,50.00
No Opening,ProgressiveDeepening3,Minimax2,0,0.00
No Opening,Minimax3,SimulatedAnnealing0.5,11,36.67
No Opening,SimulatedAnnealing0.5,Minimax3,6,20.00
No Opening,Minimax3,SimulatedAnnealing1.0,10,33.33
No Opening,SimulatedAnnealing1.0,Minimax3,8,26.67
No Opening,Minimax3,SimulatedAnnealing1.5,10,33.33
No Opening,SimulatedAnnealing1.5,Minimax3,6,20.00
No Opening,Minimax3,SimulatedAnnealing2.0,9,30.00
No Opening,SimulatedAnnealing2.0,Minimax3,3,10.00
No Opening,Minimax3,ProgressiveDeepening2,0,0.00
No Opening,ProgressiveDeepening2,Minimax3,0,0.00
No Opening,Minimax3,ProgressiveDeepening3,0,0.00
No Opening,ProgressiveDeepening3,Minimax3,0,0.00
